"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	Population
	"Mississippi"	"28"	"25-29 years"	"25-29"	209411
	"Mississippi"	"28"	"30-34 years"	"30-34"	184895
	"Mississippi"	"28"	"35-39 years"	"35-39"	189869
	"Mississippi"	"28"	"40-44 years"	"40-44"	175129
	"Mississippi"	"28"	"45-49 years"	"45-49"	184333
	"Mississippi"	"28"	"50-54 years"	"50-54"	184460
	"Mississippi"	"28"	"55-59 years"	"55-59"	198698
	"Mississippi"	"28"	"60-64 years "	"60-64"	187195
	"Mississippi"	"28"	"65-69 years"	"65-69"	157411
	"Mississippi"	"28"	"70-74 years"	"70-74"	123174
	"Mississippi"	"28"	"75-79 years"	"75-79"	85408
	"Mississippi"	"28"	"80-84 years"	"80-84"	56141
	"Mississippi"	"28"	"85+ years"	"85+"	52341
"Total"	"Mississippi"	"28"			2986530
	"Missouri"	"29"	"< 1 year"	"1"	72258
	"Missouri"	"29"	"1-4 years"	"1-4"	300455
	"Missouri"	"29"	"5-9 years"	"5-9"	377947
	"Missouri"	"29"	"10-14 years"	"10-14"	391940
	"Missouri"	"29"	"15-19 years"	"15-19"	391387
	"Missouri"	"29"	"20-24 years"	"20-24"	409228
	"Missouri"	"29"	"25-29 years"	"25-29"	426568
	"Missouri"	"29"	"30-34 years"	"30-34"	396937
	"Missouri"	"29"	"35-39 years"	"35-39"	394342
	"Missouri"	"29"	"40-44 years"	"40-44"	350197
	"Missouri"	"29"	"45-49 years"	"45-49"	369939
	"Missouri"	"29"	"50-54 years"	"50-54"	381749
	"Missouri"	"29"	"55-59 years"	"55-59"	430286
	"Missouri"	"29"	"60-64 years "	"60-64"	399255
	"Missouri"	"29"	"65-69 years"	"65-69"	332509
	"Missouri"	"29"	"70-74 years"	"70-74"	260068
	"Missouri"	"29"	"75-79 years"	"75-79"	185960
	"Missouri"	"29"	"80-84 years"	"80-84"	123543
	"Missouri"	"29"	"85+ years"	"85+"	131884
"Total"	"Missouri"	"29"			6126452
	"Montana"	"30"	"< 1 year"	"1"	12099
	"Montana"	"30"	"1-4 years"	"1-4"	50437
	"Montana"	"30"	"5-9 years"	"5-9"	63526
	"Montana"	"30"	"10-14 years"	"10-14"	65281
	"Montana"	"30"	"15-19 years"	"15-19"	64023
	"Montana"	"30"	"20-24 years"	"20-24"	72513
	"Montana"	"30"	"25-29 years"	"25-29"	71120
	"Montana"	"30"	"30-34 years"	"30-34"	66343
	"Montana"	"30"	"35-39 years"	"35-39"	67394
	"Montana"	"30"	"40-44 years"	"40-44"	59002
	"Montana"	"30"	"45-49 years"	"45-49"	58886
	"Montana"	"30"	"50-54 years"	"50-54"	61392
	"Montana"	"30"	"55-59 years"	"55-59"	74523
	"Montana"	"30"	"60-64 years "	"60-64"	76864
	"Montana"	"30"	"65-69 years"	"65-69"	68722
	"Montana"	"30"	"70-74 years"	"70-74"	50861
	"Montana"	"30"	"75-79 years"	"75-79"	34678
	"Montana"	"30"	"80-84 years"	"80-84"	21946
	"Montana"	"30"	"85+ years"	"85+"	22695
"Total"	"Montana"	"30"			1062305
	"Nebraska"	"31"	"< 1 year"	"1"	25809
	"Nebraska"	"31"	"1-4 years"	"1-4"	107159
	"Nebraska"	"31"	"5-9 years"	"5-9"	132340
	"Nebraska"	"31"	"10-14 years"	"10-14"	133482
	"Nebraska"	"31"	"15-19 years"	"15-19"	131579
	"Nebraska"	"31"	"20-24 years"	"20-24"	137180
	"Nebraska"	"31"	"25-29 years"	"25-29"	128475
	"Nebraska"	"31"	"30-34 years"	"30-34"	127248
	"Nebraska"	"31"	"35-39 years"	"35-39"	128339
	"Nebraska"	"31"	"40-44 years"	"40-44"	110972
	"Nebraska"	"31"	"45-49 years"	"45-49"	109690
	"Nebraska"	"31"	"50-54 years"	"50-54"	110281
	"Nebraska"	"31"	"55-59 years"	"55-59"	125547
	"Nebraska"	"31"	"60-64 years "	"60-64"	117501
	"Nebraska"	"31"	"65-69 years"	"65-69"	99312
	"Nebraska"	"31"	"70-74 years"	"70-74"	73215
	"Nebraska"	"31"	"75-79 years"	"75-79"	51194
	"Nebraska"	"31"	"80-84 years"	"80-84"	36867
	"Nebraska"	"31"	"85+ years"	"85+"	43078
"Total"	"Nebraska"	"31"			1929268
	"Nevada"	"32"	"< 1 year"	"1"	35781
	"Nevada"	"32"	"1-4 years"	"1-4"	150214
	"Nevada"	"32"	"5-9 years"	"5-9"	191607
	"Nevada"	"32"	"10-14 years"	"10-14"	197022
	"Nevada"	"32"	"15-19 years"	"15-19"	181098
	"Nevada"	"32"	"20-24 years"	"20-24"	182064
	"Nevada"	"32"	"25-29 years"	"25-29"	227464
	"Nevada"	"32"	"30-34 years"	"30-34"	217908
	"Nevada"	"32"	"35-39 years"	"35-39"	210838
	"Nevada"	"32"	"40-44 years"	"40-44"	192315
	"Nevada"	"32"	"45-49 years"	"45-49"	201625
	"Nevada"	"32"	"50-54 years"	"50-54"	193714
	"Nevada"	"32"	"55-59 years"	"55-59"	194281
	"Nevada"	"32"	"60-64 years "	"60-64"	182280
	"Nevada"	"32"	"65-69 years"	"65-69"	160427
	"Nevada"	"32"	"70-74 years"	"70-74"	132825
	"Nevada"	"32"	"75-79 years"	"75-79"	88212
	"Nevada"	"32"	"80-84 years"	"80-84"	51355
	"Nevada"	"32"	"85+ years"	"85+"	43362
"Total"	"Nevada"	"32"			3034392
	"New Hampshire"	"33"	"< 1 year"	"1"	12217
	"New Hampshire"	"33"	"1-4 years"	"1-4"	51803
	"New Hampshire"	"33"	"5-9 years"	"5-9"	69360
	"New Hampshire"	"33"	"10-14 years"	"10-14"	76114
	"New Hampshire"	"33"	"15-19 years"	"15-19"	85131
	"New Hampshire"	"33"	"20-24 years"	"20-24"	89682
	"New Hampshire"	"33"	"25-29 years"	"25-29"	85844
	"New Hampshire"	"33"	"30-34 years"	"30-34"	83231
	"New Hampshire"	"33"	"35-39 years"	"35-39"	79847
	"New Hampshire"	"33"	"40-44 years"	"40-44"	74827
	"New Hampshire"	"33"	"45-49 years"	"45-49"	89868
	"New Hampshire"	"33"	"50-54 years"	"50-54"	100374
	"New Hampshire"	"33"	"55-59 years"	"55-59"	110921
	"New Hampshire"	"33"	"60-64 years "	"60-64"	101594
	"New Hampshire"	"33"	"65-69 years"	"65-69"	82879
	"New Hampshire"	"33"	"70-74 years"	"70-74"	64054
	"New Hampshire"	"33"	"75-79 years"	"75-79"	41515
	"New Hampshire"	"33"	"80-84 years"	"80-84"	26709
	"New Hampshire"	"33"	"85+ years"	"85+"	30488
"Total"	"New Hampshire"	"33"			1356458
	"New Jersey"	"34"	"< 1 year"	"1"	100364
	"New Jersey"	"34"	"1-4 years"	"1-4"	418264
	"New Jersey"	"34"	"5-9 years"	"5-9"	533562
	"New Jersey"	"34"	"10-14 years"	"10-14"	558614
	"New Jersey"	"34"	"15-19 years"	"15-19"	557815
	"New Jersey"	"34"	"20-24 years"	"20-24"	551030
	"New Jersey"	"34"	"25-29 years"	"25-29"	583053
	"New Jersey"	"34"	"30-34 years"	"30-34"	572786
	"New Jersey"	"34"	"35-39 years"	"35-39"	581487
	"New Jersey"	"34"	"40-44 years"	"40-44"	557813
	"New Jersey"	"34"	"45-49 years"	"45-49"	602340
	"New Jersey"	"34"	"50-54 years"	"50-54"	633534
	"New Jersey"	"34"	"55-59 years"	"55-59"	646773
	"New Jersey"	"34"	"60-64 years "	"60-64"	572558
	"New Jersey"	"34"	"65-69 years"	"65-69"	451916
	"New Jersey"	"34"	"70-74 years"	"70-74"	358182
	"New Jersey"	"34"	"75-79 years"	"75-79"	253635
	"New Jersey"	"34"	"80-84 years"	"80-84"	172501
	"New Jersey"	"34"	"85+ years"	"85+"	202293
"Total"	"New Jersey"	"34"			8908520
	"New Mexico"	"35"	"< 1 year"	"1"	23668
	"New Mexico"	"35"	"1-4 years"	"1-4"	100578
	"New Mexico"	"35"	"5-9 years"	"5-9"	134822
	"New Mexico"	"35"	"10-14 years"	"10-14"	139941
	"New Mexico"	"35"	"15-19 years"	"15-19"	139052
	"New Mexico"	"35"	"20-24 years"	"20-24"	141547
	"New Mexico"	"35"	"25-29 years"	"25-29"	145687
	"New Mexico"	"35"	"30-34 years"	"30-34"	138148
	"New Mexico"	"35"	"35-39 years"	"35-39"	133594
	"New Mexico"	"35"	"40-44 years"	"40-44"	117190
	"New Mexico"	"35"	"45-49 years"	"45-49"	119283
	"New Mexico"	"35"	"50-54 years"	"50-54"	121582
	"New Mexico"	"35"	"55-59 years"	"55-59"	139264
	"New Mexico"	"35"	"60-64 years "	"60-64"	134883
	"New Mexico"	"35"	"65-69 years"	"65-69"	121673
	"New Mexico"	"35"	"70-74 years"	"70-74"	96211
	"New Mexico"	"35"	"75-79 years"	"75-79"	64896
	"New Mexico"	"35"	"80-84 years"	"80-84"	42238
	"New Mexico"	"35"	"85+ years"	"85+"	41171
"Total"	"New Mexico"	"35"			2095428
	"New York"	"36"	"< 1 year"	"1"	227883
	"New York"	"36"	"1-4 years"	"1-4"	912559
	"New York"	"36"	"5-9 years"	"5-9"	1119326
	"New York"	"36"	"10-14 years"	"10-14"	1117870
	"New York"	"36"	"15-19 years"	"15-19"	1188292
	"New York"	"36"	"20-24 years"	"20-24"	1302338
	"New York"	"36"	"25-29 years"	"25-29"	1485577
	"New York"	"36"	"30-34 years"	"30-34"	1393216
	"New York"	"36"	"35-39 years"	"35-39"	1273063
	"New York"	"36"	"40-44 years"	"40-44"	1158801
	"New York"	"36"	"45-49 years"	"45-49"	1240014
	"New York"	"36"	"50-54 years"	"50-54"	1315115
	"New York"	"36"	"55-59 years"	"55-59"	1358693
	"New York"	"36"	"60-64 years "	"60-64"	1235928
	"New York"	"36"	"65-69 years"	"65-69"	1017063
	"New York"	"36"	"70-74 years"	"70-74"	792057
	"New York"	"36"	"75-79 years"	"75-79"	559571
	"New York"	"36"	"80-84 years"	"80-84"	388524
	"New York"	"36"	"85+ years"	"85+"	456319
"Total"	"New York"	"36"			19542209
	"North Carolina"	"37"	"< 1 year"	"1"	118550
	"North Carolina"	"37"	"1-4 years"	"1-4"	491578
	"North Carolina"	"37"	"5-9 years"	"5-9"	628094
	"North Carolina"	"37"	"10-14 years"	"10-14"	664208
	"North Carolina"	"37"	"15-19 years"	"15-19"	684178
	"North Carolina"	"37"	"20-24 years"	"20-24"	697871
	"North Carolina"	"37"	"25-29 years"	"25-29"	728562
	"North Carolina"	"37"	"30-34 years"	"30-34"	664586
	"North Carolina"	"37"	"35-39 years"	"35-39"	658604
	"North Carolina"	"37"	"40-44 years"	"40-44"	637301
	"North Carolina"	"37"	"45-49 years"	"45-49"	697294
	"North Carolina"	"37"	"50-54 years"	"50-54"	680546
	"North Carolina"	"37"	"55-59 years"	"55-59"	695970
	"North Carolina"	"37"	"60-64 years "	"60-64"	647013
	"North Carolina"	"37"	"65-69 years"	"65-69"	560023
	"North Carolina"	"37"	"70-74 years"	"70-74"	450435
	"North Carolina"	"37"	"75-79 years"	"75-79"	300671
	"North Carolina"	"37"	"80-84 years"	"80-84"	192387
	"North Carolina"	"37"	"85+ years"	"85+"	185749
"Total"	"North Carolina"	"37"			10383620
	"North Dakota"	"38"	"< 1 year"	"1"	10802
	"North Dakota"	"38"	"1-4 years"	"1-4"	43893
	"North Dakota"	"38"	"5-9 years"	"5-9"	50206
	"North Dakota"	"38"	"10-14 years"	"10-14"	47648
	"North Dakota"	"38"	"15-19 years"	"15-19"	47282
	"North Dakota"	"38"	"20-24 years"	"20-24"	63579
	"North Dakota"	"38"	"25-29 years"	"25-29"	61153
	"North Dakota"	"38"	"30-34 years"	"30-34"	53647
	"North Dakota"	"38"	"35-39 years"	"35-39"	49895
	"North Dakota"	"38"	"40-44 years"	"40-44"	40507
	"North Dakota"	"38"	"45-49 years"	"45-49"	39212
	"North Dakota"	"38"	"50-54 years"	"50-54"	40793
	"North Dakota"	"38"	"55-59 years"	"55-59"	48475
	"North Dakota"	"38"	"60-64 years "	"60-64"	46348
	"North Dakota"	"38"	"65-69 years"	"65-69"	37277
	"North Dakota"	"38"	"70-74 years"	"70-74"	26945
	"North Dakota"	"38"	"75-79 years"	"75-79"	18962
	"North Dakota"	"38"	"80-84 years"	"80-84"	14657
	"North Dakota"	"38"	"85+ years"	"85+"	18796
"Total"	"North Dakota"	"38"			760077
	"Ohio"	"39"	"< 1 year"	"1"	134002
	"Ohio"	"39"	"1-4 years"	"1-4"	560787
	"Ohio"	"39"	"5-9 years"	"5-9"	708148
	"Ohio"	"39"	"10-14 years"	"10-14"	737787
	"Ohio"	"39"	"15-19 years"	"15-19"	761897
	"Ohio"	"39"	"20-24 years"	"20-24"	758902
	"Ohio"	"39"	"25-29 years"	"25-29"	806886
	"Ohio"	"39"	"30-34 years"	"30-34"	738394
	"Ohio"	"39"	"35-39 years"	"35-39"	724205
	"Ohio"	"39"	"40-44 years"	"40-44"	666987
	"Ohio"	"39"	"45-49 years"	"45-49"	732526
	"Ohio"	"39"	"50-54 years"	"50-54"	752351
	"Ohio"	"39"	"55-59 years"	"55-59"	821402
	"Ohio"	"39"	"60-64 years "	"60-64"	790146
	"Ohio"	"39"	"65-69 years"	"65-69"	655007
	"Ohio"	"39"	"70-74 years"	"70-74"	495368
	"Ohio"	"39"	"75-79 years"	"75-79"	349819
	"Ohio"	"39"	"80-84 years"	"80-84"	238491
	"Ohio"	"39"	"85+ years"	"85+"	256337
"Total"	"Ohio"	"39"			11689442
	"Oklahoma"	"40"	"< 1 year"	"1"	50353
	"Oklahoma"	"40"	"1-4 years"	"1-4"	210076
	"Oklahoma"	"40"	"5-9 years"	"5-9"	267797
	"Oklahoma"	"40"	"10-14 years"	"10-14"	270110
	"Oklahoma"	"40"	"15-19 years"	"15-19"	264140
	"Oklahoma"	"40"	"20-24 years"	"20-24"	273690
	"Oklahoma"	"40"	"25-29 years"	"25-29"	280849
	"Oklahoma"	"40"	"30-34 years"	"30-34"	262369
	"Oklahoma"	"40"	"35-39 years"	"35-39"	261410
	"Oklahoma"	"40"	"40-44 years"	"40-44"	228978
	"Oklahoma"	"40"	"45-49 years"	"45-49"	232318
	"Oklahoma"	"40"	"50-54 years"	"50-54"	227992
	"Oklahoma"	"40"	"55-59 years"	"55-59"	255026
	"Oklahoma"	"40"	"60-64 years "	"60-64"	238418
	"Oklahoma"	"40"	"65-69 years"	"65-69"	199427
	"Oklahoma"	"40"	"70-74 years"	"70-74"	159219
	"Oklahoma"	"40"	"75-79 years"	"75-79"	112935
	"Oklahoma"	"40"	"80-84 years"	"80-84"	74776
	"Oklahoma"	"40"	"85+ years"	"85+"	73196
"Total"	"Oklahoma"	"40"			3943079
	"Oregon"	"41"	"< 1 year"	"1"	45259
	"Oregon"	"41"	"1-4 years"	"1-4"	188955
	"Oregon"	"41"	"5-9 years"	"5-9"	242575
	"Oregon"	"41"	"10-14 years"	"10-14"	249214
	"Oregon"	"41"	"15-19 years"	"15-19"	246835
	"Oregon"	"41"	"20-24 years"	"20-24"	265773
	"Oregon"	"41"	"25-29 years"	"25-29"	302744
	"Oregon"	"41"	"30-34 years"	"30-34"	293741
	"Oregon"	"41"	"35-39 years"	"35-39"	294348
	"Oregon"	"41"	"40-44 years"	"40-44"	265419
	"Oregon"	"41"	"45-49 years"	"45-49"	264308
	"Oregon"	"41"	"50-54 years"	"50-54"	248366
	"Oregon"	"41"	"55-59 years"	"55-59"	270029
	"Oregon"	"41"	"60-64 years "	"60-64"	274456
	"Oregon"	"41"	"65-69 years"	"65-69"	253268
	"Oregon"	"41"	"70-74 years"	"70-74"	194924
	"Oregon"	"41"	"75-79 years"	"75-79"	127826
	"Oregon"	"41"	"80-84 years"	"80-84"	78648
	"Oregon"	"41"	"85+ years"	"85+"	84025
"Total"	"Oregon"	"41"			4190713
	"Pennsylvania"	"42"	"< 1 year"	"1"	135446
	"Pennsylvania"	"42"	"1-4 years"	"1-4"	567551
	"Pennsylvania"	"42"	"5-9 years"	"5-9"	725614
	"Pennsylvania"	"42"	"10-14 years"	"10-14"	755233
	"Pennsylvania"	"42"	"15-19 years"	"15-19"	810300
	"Pennsylvania"	"42"	"20-24 years"	"20-24"	815049
	"Pennsylvania"	"42"	"25-29 years"	"25-29"	870748
	"Pennsylvania"	"42"	"30-34 years"	"30-34"	830358
	"Pennsylvania"	"42"	"35-39 years"	"35-39"	782766
	"Pennsylvania"	"42"	"40-44 years"	"40-44"	715779
	"Pennsylvania"	"42"	"45-49 years"	"45-49"	797593
	"Pennsylvania"	"42"	"50-54 years"	"50-54"	855188
	"Pennsylvania"	"42"	"55-59 years"	"55-59"	921795
	"Pennsylvania"	"42"	"60-64 years "	"60-64"	888010
	"Pennsylvania"	"42"	"65-69 years"	"65-69"	737898
	"Pennsylvania"	"42"	"70-74 years"	"70-74"	572852
	"Pennsylvania"	"42"	"75-79 years"	"75-79"	407338
	"Pennsylvania"	"42"	"80-84 years"	"80-84"	283299
	"Pennsylvania"	"42"	"85+ years"	"85+"	334243
"Total"	"Pennsylvania"	"42"			12807060
	"Rhode Island"	"44"	"< 1 year"	"1"	10557
	"Rhode Island"	"44"	"1-4 years"	"1-4"	43856
	"Rhode Island"	"44"	"5-9 years"	"5-9"	54840
	"Rhode Island"	"44"	"10-14 years"	"10-14"	58821
	"Rhode Island"	"44"	"15-19 years"	"15-19"	71426
	"Rhode Island"	"44"	"20-24 years"	"20-24"	76616
	"Rhode Island"	"44"	"25-29 years"	"25-29"	76369
	"Rhode Island"	"44"	"30-34 years"	"30-34"	69862
	"Rhode Island"	"44"	"35-39 years"	"35-39"	65405
	"Rhode Island"	"44"	"40-44 years"	"40-44"	58781
	"Rhode Island"	"44"	"45-49 years"	"45-49"	66143
	"Rhode Island"	"44"	"50-54 years"	"50-54"	73227
	"Rhode Island"	"44"	"55-59 years"	"55-59"	76974
	"Rhode Island"	"44"	"60-64 years "	"60-64"	72184
	"Rhode Island"	"44"	"65-69 years"	"65-69"	57725
	"Rhode Island"	"44"	"70-74 years"	"70-74"	44870
	"Rhode Island"	"44"	"75-79 years"	"75-79"	30741
	"Rhode Island"	"44"	"80-84 years"	"80-84"	21066
	"Rhode Island"	"44"	"85+ years"	"85+"	27852
"Total"	"Rhode Island"	"44"			1057315
	"South Carolina"	"45"	"< 1 year"	"1"	55932
	"South Carolina"	"45"	"1-4 years"	"1-4"	236459
	"South Carolina"	"45"	"5-9 years"	"5-9"	306255
	"South Carolina"	"45"	"10-14 years"	"10-14"	319554
	"South Carolina"	"45"	"15-19 years"	"15-19"	323894
	"South Carolina"	"45"	"20-24 years"	"20-24"	332074
	"South Carolina"	"45"	"25-29 years"	"25-29"	354451
	"South Carolina"	"45"	"30-34 years"	"30-34"	319439
	"South Carolina"	"45"	"35-39 years"	"35-39"	316074
	"South Carolina"	"45"	"40-44 years"	"40-44"	295323
	"South Carolina"	"45"	"45-49 years"	"45-49"	320122
	"South Carolina"	"45"	"50-54 years"	"50-54"	326336
	"South Carolina"	"45"	"55-59 years"	"55-59"	344755
	"South Carolina"	"45"	"60-64 years "	"60-64"	333544
	"South Carolina"	"45"	"65-69 years"	"65-69"	302279
	"South Carolina"	"45"	"70-74 years"	"70-74"	247552
	"South Carolina"	"45"	"75-79 years"	"75-79"	163274
	"South Carolina"	"45"	"80-84 years"	"80-84"	97835
	"South Carolina"	"45"	"85+ years"	"85+"	88975
"Total"	"South Carolina"	"45"			5084127
	"South Dakota"	"46"	"< 1 year"	"1"	12109
	"South Dakota"	"46"	"1-4 years"	"1-4"	50023
	"South Dakota"	"46"	"5-9 years"	"5-9"	60762
	"South Dakota"	"46"	"10-14 years"	"10-14"	60882
	"South Dakota"	"46"	"15-19 years"	"15-19"	57674
	"South Dakota"	"46"	"20-24 years"	"20-24"	59585
	"South Dakota"	"46"	"25-29 years"	"25-29"	58754
	"South Dakota"	"46"	"30-34 years"	"30-34"	57341
	"South Dakota"	"46"	"35-39 years"	"35-39"	56007
	"South Dakota"	"46"	"40-44 years"	"40-44"	47902
	"South Dakota"	"46"	"45-49 years"	"45-49"	47241
	"South Dakota"	"46"	"50-54 years"	"50-54"	49840
	"South Dakota"	"46"	"55-59 years"	"55-59"	59311
	"South Dakota"	"46"	"60-64 years "	"60-64"	57950
	"South Dakota"	"46"	"65-69 years"	"65-69"	50160
	"South Dakota"	"46"	"70-74 years"	"70-74"	34890
	"South Dakota"	"46"	"75-79 years"	"75-79"	23666
	"South Dakota"	"46"	"80-84 years"	"80-84"	17147
	"South Dakota"	"46"	"85+ years"	"85+"	20991
"Total"	"South Dakota"	"46"			882235
	"Tennessee"	"47"	"< 1 year"	"1"	78974
	"Tennessee"	"47"	"1-4 years"	"1-4"	327600
	"Tennessee"	"47"	"5-9 years"	"5-9"	412340
	"Tennessee"	"47"	"10-14 years"	"10-14"	430114
	"Tennessee"	"47"	"15-19 years"	"15-19"	425325
	"Tennessee"	"47"	"20-24 years"	"20-24"	445657
	"Tennessee"	"47"	"25-29 years"	"25-29"	492464
	"Tennessee"	"47"	"30-34 years"	"30-34"	438603
	"Tennessee"	"47"	"35-39 years"	"35-39"	432883
	"Tennessee"	"47"	"40-44 years"	"40-44"	407384
	"Tennessee"	"47"	"45-49 years"	"45-49"	442810
	"Tennessee"	"47"	"50-54 years"	"50-54"	439985
	"Tennessee"	"47"	"55-59 years"	"55-59"	456537
	"Tennessee"	"47"	"60-64 years "	"60-64"	429637
	"Tennessee"	"47"	"65-69 years"	"65-69"	366920
	"Tennessee"	"47"	"70-74 years"	"70-74"	294682
	"Tennessee"	"47"	"75-79 years"	"75-79"	201335
	"Tennessee"	"47"	"80-84 years"	"80-84"	126698
	"Tennessee"	"47"	"85+ years"	"85+"	120062
"Total"	"Tennessee"	"47"			6770010
	"Texas"	"48"	"< 1 year"	"1"	390665
	"Texas"	"48"	"1-4 years"	"1-4"	1633461
	"Texas"	"48"	"5-9 years"	"5-9"	2047747
	"Texas"	"48"	"10-14 years"	"10-14"	2091419
	"Texas"	"48"	"15-19 years"	"15-19"	2032343
	"Texas"	"48"	"20-24 years"	"20-24"	1998543
	"Texas"	"48"	"25-29 years"	"25-29"	2159807
	"Texas"	"48"	"30-34 years"	"30-34"	2076521
	"Texas"	"48"	"35-39 years"	"35-39"	2030827
	"Texas"	"48"	"40-44 years"	"40-44"	1850945
	"Texas"	"48"	"45-49 years"	"45-49"	1847367
	"Texas"	"48"	"50-54 years"	"50-54"	1705590
	"Texas"	"48"	"55-59 years"	"55-59"	1712901
	"Texas"	"48"	"60-64 years "	"60-64"	1521389
	"Texas"	"48"	"65-69 years"	"65-69"	1226455
	"Texas"	"48"	"70-74 years"	"70-74"	940074
	"Texas"	"48"	"75-79 years"	"75-79"	627316
	"Texas"	"48"	"80-84 years"	"80-84"	407976
	"Texas"	"48"	"85+ years"	"85+"	400499
"Total"	"Texas"	"48"			28701845
	"Utah"	"49"	"< 1 year"	"1"	50160
	"Utah"	"49"	"1-4 years"	"1-4"	202844
	"Utah"	"49"	"5-9 years"	"5-9"	259078
	"Utah"	"49"	"10-14 years"	"10-14"	266799
	"Utah"	"49"	"15-19 years"	"15-19"	248985
	"Utah"	"49"	"20-24 years"	"20-24"	260906
	"Utah"	"49"	"25-29 years"	"25-29"	247231
	"Utah"	"49"	"30-34 years"	"30-34"	217677
	"Utah"	"49"	"35-39 years"	"35-39"	231359
	"Utah"	"49"	"40-44 years"	"40-44"	203255
	"Utah"	"49"	"45-49 years"	"45-49"	172668
	"Utah"	"49"	"50-54 years"	"50-54"	149505
	"Utah"	"49"	"55-59 years"	"55-59"	155362
	"Utah"	"49"	"60-64 years "	"60-64"	144798
	"Utah"	"49"	"65-69 years"	"65-69"	119503
	"Utah"	"49"	"70-74 years"	"70-74"	90368
	"Utah"	"49"	"75-79 years"	"75-79"	62027
	"Utah"	"49"	"80-84 years"	"80-84"	40804
	"Utah"	"49"	"85+ years"	"85+"	37776
"Total"	"Utah"	"49"			3161105
	"Vermont"	"50"	"< 1 year"	"1"	5632
	"Vermont"	"50"	"1-4 years"	"1-4"	24049
	"Vermont"	"50"	"5-9 years"	"5-9"	31272
	"Vermont"	"50"	"10-14 years"	"10-14"	33761
	"Vermont"	"50"	"15-19 years"	"15-19"	42285
	"Vermont"	"50"	"20-24 years"	"20-24"	46193
	"Vermont"	"50"	"25-29 years"	"25-29"	37533
	"Vermont"	"50"	"30-34 years"	"30-34"	36558
	"Vermont"	"50"	"35-39 years"	"35-39"	36604
	"Vermont"	"50"	"40-44 years"	"40-44"	33997
	"Vermont"	"50"	"45-49 years"	"45-49"	38532
	"Vermont"	"50"	"50-54 years"	"50-54"	42187
	"Vermont"	"50"	"55-59 years"	"55-59"	48697
	"Vermont"	"50"	"60-64 years "	"60-64"	47792
	"Vermont"	"50"	"65-69 years"	"65-69"	41336
	"Vermont"	"50"	"70-74 years"	"70-74"	31557
	"Vermont"	"50"	"75-79 years"	"75-79"	20710
	"Vermont"	"50"	"80-84 years"	"80-84"	13183
	"Vermont"	"50"	"85+ years"	"85+"	14421
"Total"	"Vermont"	"50"			626299
	"Virginia"	"51"	"< 1 year"	"1"	99261
	"Virginia"	"51"	"1-4 years"	"1-4"	411663
	"Virginia"	"51"	"5-9 years"	"5-9"	514457
	"Virginia"	"51"	"10-14 years"	"10-14"	528362
	"Virginia"	"51"	"15-19 years"	"15-19"	542284
	"Virginia"	"51"	"20-24 years"	"20-24"	578812
	"Virginia"	"51"	"25-29 years"	"25-29"	604186
	"Virginia"	"51"	"30-34 years"	"30-34"	586120
	"Virginia"	"51"	"35-39 years"	"35-39"	578634
	"Virginia"	"51"	"40-44 years"	"40-44"	526249
	"Virginia"	"51"	"45-49 years"	"45-49"	558081
	"Virginia"	"51"	"50-54 years"	"50-54"	567303
	"Virginia"	"51"	"55-59 years"	"55-59"	583042
	"Virginia"	"51"	"60-64 years "	"60-64"	523830
	"Virginia"	"51"	"65-69 years"	"65-69"	432802
	"Virginia"	"51"	"70-74 years"	"70-74"	346236
	"Virginia"	"51"	"75-79 years"	"75-79"	235193
	"Virginia"	"51"	"80-84 years"	"80-84"	149278
	"Virginia"	"51"	"85+ years"	"85+"	151892
"Total"	"Virginia"	"51"			8517685
	"Washington"	"53"	"< 1 year"	"1"	90662
	"Washington"	"53"	"1-4 years"	"1-4"	372039
	"Washington"	"53"	"5-9 years"	"5-9"	466916
	"Washington"	"53"	"10-14 years"	"10-14"	462802
	"Washington"	"53"	"15-19 years"	"15-19"	447049
	"Washington"	"53"	"20-24 years"	"20-24"	481263
	"Washington"	"53"	"25-29 years"	"25-29"	589604
	"Washington"	"53"	"30-34 years"	"30-34"	563753
	"Washington"	"53"	"35-39 years"	"35-39"	536144
	"Washington"	"53"	"40-44 years"	"40-44"	466725
	"Washington"	"53"	"45-49 years"	"45-49"	474408
	"Washington"	"53"	"50-54 years"	"50-54"	459123
	"Washington"	"53"	"55-59 years"	"55-59"	491676
	"Washington"	"53"	"60-64 years "	"60-64"	469195
	"Washington"	"53"	"65-69 years"	"65-69"	401689
	"Washington"	"53"	"70-74 years"	"70-74"	307119
	"Washington"	"53"	"75-79 years"	"75-79"	198092
	"Washington"	"53"	"80-84 years"	"80-84"	123949
	"Washington"	"53"	"85+ years"	"85+"	133383
"Total"	"Washington"	"53"			7535591
	"West Virginia"	"54"	"< 1 year"	"1"	17871
	"West Virginia"	"54"	"1-4 years"	"1-4"	77386
	"West Virginia"	"54"	"5-9 years"	"5-9"	101043
	"West Virginia"	"54"	"10-14 years"	"10-14"	104388
	"West Virginia"	"54"	"15-19 years"	"15-19"	107227
	"West Virginia"	"54"	"20-24 years"	"20-24"	113094
	"West Virginia"	"54"	"25-29 years"	"25-29"	113614
	"West Virginia"	"54"	"30-34 years"	"30-34"	101748
	"West Virginia"	"54"	"35-39 years"	"35-39"	109230
